Stock as at 13/07/2024.,,,,,,SOLD,,,,,,,,,,,
ITEMS ,6ML ,15ML,30ML,50ML,3ML,,,SIZE,PRICE,IF BUYING MORE,,,,,,,
INVICTUS ,,1,2,,,,,6ML,"₦1,500.00","₦1,400.00",,,,,,,
212 VIP MAN,2,1,2,2,,,,15ML,#2800 / #3000,#2800 / #3000,,,,,,,
GOOD GIRL ,1,1,1,1,,,,30ML,"₦7,000.00","₦7,000.00",,,,,,,
VANILLA 28 KAYALI,,1,1,1,,,,50ML,"₦11,000.00","₦10,000.00",,,,,,,
ESCADA MAGNESIUM ,,1,2,,,,,100ML,"₦18,000.00","₦18,000.00",,,,,,,
DIOR SAUVAGE ,1,,1,1,,,,1,,,,,,,,,
STRONGER WITH YOU,,,2,1,,,,,,,,,,,,,
HUGO BOSS WOMAN,2,,2,,,,,,,,,,,,,,
CREED ADVENTUS ,1,2,1,1,,,,1,,,,,,,,,
MANGO TEMPTATION ,1,,1,,,,,1,,,,,,,,,
TOBACCO VANILLA ,,1,1,1,,,,,,,,,,,,,
AMOUGE INTERLUDE ,1,1,1,0,,,,,,,,,,,,,
AMOUGE OPUS 7,,1,1,1,,,,,,,,,,,,,
SCANDAL,1,,2,1,,,,,,,,,,,,,
BLACK ORCHID ,1,1,2,,,,,,,,,,,,,,
PURE SEDUCTION ,1,1,1,1,,,,,,,,,,,,,
SUPREMACY ,2,2,1,1,,,,,,,,,,,,,
SANTAL ROYAL,,,1,,,,,,,,,,,,,,
LACOSTE WHITE L12,,,1,1,,,,,,,,,,,,,
SUGAR BABY ,,2,1,1,,,,,,,,,,,,,
BACCARAT 540,1,1,1,1,,,,,,,,,,,,,
COCONUT PASSION ,1,1,1,1,,,,,,,,,,,,,
TOMFORD A. WOOD,,,1,1,,,,,,,,,,,,,
OUD FOR GREATNESS,,1,1,1,,,,,,,,,,,,,
MUSK TAHARA ,,1,1,,,,,,,,,,,,,,
OLEMPEA ,1,1,,2,,,,,,,,,,,,,
MAD ABOUT YOU ,1,,,1,,,,,,,,,,,,,
PINK SHIFFON,,1,,1,,,,,,,,,,,,,
ROYAL SANTA,,,,1,,,,,,,,,,,,,
RED BACCARAT,1,2,,1,,,,1,,,,,,,,,
BACCARAT EXTRAIT ,1,1,,1,,,,,,,,,,,,,
HUGO BOSS ,0,,,1,,,,,,,,,,,,,
MIDNIGHT ROSE LACOME ,2,2,,1,,,,,,,,,,,,,
BROWN ORCHID,,1,,1,,,,,,,,,,,,,
OUD BOUQUET ,,,,1,,,,,,,,,,,,,
MIDNIGHT OUD,1,,,1,,,,,,,,,,,,,
YOU ARE SPECIAL,,,1,1,,,,,,,,,,,,,
AMANI CODE BLACK,,1,1,,,,,,,,,,,,,,
I AM GLORIOUS,,1,,,,,,,,,,,,,,,
ESCADA CANDY LOVE,2,1,,,,,,,,,,,,,,,
TAJ SUNSET,1,,,,,,,,,,,,,,,,
TERRE DE HERMES,1,,,,,,,,,,,,,,,,
212 AQUA ,1,,,,,,,,,,,,,,,,
BOSS ORANGE,1,,,,,,,,,,,,,,,,
PINK SUGAR,1,,,,,,,,,,,,,,,,
30ML NOZZLE,,,18,,,,,,,,,,,,,,
3ML PERFUME OILS,,,,,54,,,,,,,,,,,,
,30,31,52,31,54,,,,,,,,,,,,
,9,,34,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
TOTAL,198,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEFT,26,30,35,30,35,,,,,,,,,,,,
